"Cores","terra_zonal","terra_extract","exact_extract"
1,1.7664577960968,1.22103834152222,1.3941171169281
2,1.04105019569397,0.66447377204895,0.773592948913574
3,0.73773980140686,0.469068288803101,0.571212291717529
4,0.62555193901062,0.411213874816895,0.478374242782593
5,0.541973352432251,0.341045618057251,0.437633514404297
6,0.510983943939209,0.321301221847534,0.403165340423584
7,0.532599687576294,0.303066730499268,0.426900863647461
8,0.48384428024292,0.351986408233643,0.4024338722229
9,0.554039001464844,0.371414184570312,0.483644485473633
10,0.581250190734863,0.363607883453369,0.44733738899231
11,0.573298692703247,0.359689950942993,0.49930739402771
12,0.563850164413452,0.358993053436279,0.493538856506348
13,0.546637296676636,0.322468996047974,0.455790042877197
14,0.615507364273071,0.32295298576355,0.49139404296875
15,0.490257024765015,0.344409704208374,0.493674278259277
16,0.536600589752197,0.330959558486938,0.454707622528076
