"Cores","terra_zonal","terra_extract","exact_extract"
0,0.8258555,2.447076,1.40372
1,51.1683101654053,7.23170232772827,11.186429977417
2,29.0308513641357,3.9685218334198,5.80036854743958
3,23.1068704128265,2.7594141960144,4.07896971702576
4,21.078741312027,2.12254452705383,3.23285269737244
5,19.9504928588867,1.86985468864441,2.77279376983643
6,18.3729934692383,1.62686634063721,2.30003976821899
7,16.1394519805908,1.45894289016724,2.12443566322327
8,17.0886607170105,1.48329305648804,1.89887022972107
9,15.9721755981445,1.63274741172791,2.11638498306274
10,15.1658892631531,1.55135369300842,2.01085615158081
11,14.7585616111755,1.47920513153076,1.96620941162109
12,15.3986883163452,1.54246592521667,1.84840130805969
13,17.3872191905975,1.39546513557434,1.83713340759277
14,19.9848954677582,1.52421569824219,1.85710191726685
15,14.7672343254089,1.4237699508667,1.9003746509552
16,13.7484865188599,1.4320216178894,1.83035254478455
