"Cores","terra_zonal","terra_extract","exact_extract"
0,0.2880027,3.031319,0.641988
1,20.8919684886932,5.06225681304932,3.51311039924622
2,12.6429049968719,2.75230169296265,1.95454668998718
3,8.86396813392639,2.01212453842163,1.43340229988098
4,7.13205218315125,1.53033876419067,1.13772249221802
5,6.79354238510132,1.38930130004883,1.00541520118713
6,6.00352430343628,1.26702499389648,0.931888580322266
7,5.84475469589233,1.14100027084351,0.917737483978271
8,5.6374249458313,1.04631567001343,0.864712238311768
9,5.17431926727295,1.25407004356384,0.94999098777771
10,5.71187520027161,1.17031264305115,0.961804151535034
11,5.77742958068848,1.22661590576172,0.986420631408691
12,5.84373688697815,1.20078063011169,0.976586580276489
13,5.9820442199707,1.1565957069397,0.877627849578857
14,5.94968152046204,1.12620520591736,0.870014429092407
15,4.94975638389587,1.03794193267822,0.847752571105957
16,6.13624358177185,1.07775664329529,0.942129373550415
