"Cores","terra_zonal","terra_extract","exact_extract"
0,40.99217,22.63262,6.72681
1,30281.6158020496,73.9413180351257,67.4750325679779
2,16456.2742285728,39.7722344398499,33.2948632240295
3,208.834650754929,26.8315763473511,22.1266703605652
4,218.698868274689,22.2979216575623,17.0784318447113
5,6386.26288032532,18.6168823242188,13.8047032356262
6,5720.69281601906,15.4112496376038,11.8545203208923
7,5097.09772920609,13.8669834136963,10.3102560043335
8,4549.05861926079,14.9531304836273,10.3235058784485
9,3981.14048528671,14.1048336029053,10.1527502536774
10,3514.27198505402,12.8544192314148,9.23355197906494
11,3193.31332397461,12.2977643013,8.94889354705811
12,3034.05301785469,11.2510650157928,8.49308657646179
13,2879.29578256607,11.3878588676453,8.08925533294678
14,2732.00074529648,10.4786341190338,7.58077621459961
15,2681.34088492393,10.6287984848022,7.50776076316833
16,3710.2606818676,10.885217666626,7.5749888420105
