"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",0.1293373,0.1901078,8.097852
"Four",0.6840501,0.6488185,34.37598
"Eight",0.7092102,0.6274836,18.34801
"Sixteen",1.091827,0.9108527,13.68308
