"Cores","WDPA_167","Simplified_WDPA_167","Fishnets_14338"
"te_00",353.1889,256.3265,340.1081
"te_01",343.8264,344.9751,427.6372
"te_04",97.30934,96.47596,110.7311
"te_08",58.28877,61.02804,56.97677
"te_16",64.1604,63.76901,47.13015
"ee_00",16.1536,17.20548,16.40054
"ee_01",64.81724,65.19208,420.9733
"ee_04",16.43298,18.69281,109.6485
"ee_08",10.52802,11.94787,58.4873
"ee_16",9.395938,10.63835,46.56117
