"Cores","WDPA_167","Simplified_WDPA_167","Fishnets_14338"
"tz_00",0.07320094,0.1133428,0.4436848
"tz_01",2.080305,2.343215,193.0203
"tz_04",1.025738,0.6618462,48.69168
"tz_08",1.050688,0.4136956,25.94167
"tz_16",1.704623,0.4052548,19.66258
"te_00",0.205162,0.1169333,7.310405
"te_01",1.263724,1.391979,96.79554
"te_04",0.6425474,0.4125633,21.50787
"te_08",0.6630306,0.2452879,13.05137
"te_16",0.9917564,0.2528939,10.43998
"ee_00",0.1293373,0.145206,8.097852
"ee_01",1.538407,1.6636,120.8616
"ee_04",0.6840501,0.4724295,34.37598
"ee_08",0.7092102,0.3078496,18.34801
"ee_16",1.091827,0.2625797,13.68308
