"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",82.27952,79.80988,91.8057
"Four",23.86096,26.4198,44.02589
"Eight",15.13952,15.49177,24.61945
"Sixteen",14.61558,14.28024,20.04521
