"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",0.07320094,0.02881646,0.4436848
"Four",1.025738,0.8748527,48.69168
"Eight",1.050688,0.9010139,25.94167
"Sixteen",1.704623,1.39199,19.66258
