"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",4.417215,4.316369,13.93602
"Four",4.669558,4.914383,53.73208
"Eight",3.140559,3.202765,29.57918
"Sixteen",2.87464,2.890178,22.84003
