"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",0.1982877,0.1834302,9.262551
"Four",0.7490165,0.6824629,33.72716
"Eight",0.7289269,0.6573496,18.959
"Sixteen",1.04728,0.9656515,14.74441
