"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",353.1889,317.2607,340.1081
"Four",97.30934,102.3582,110.7311
"Eight",58.28877,60.34319,56.97677
"Sixteen",64.1604,58.37405,47.13015
