"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"te_01",353.1889,317.2607,340.1081
"te_04",97.30934,102.3582,110.7311
"te_08",58.28877,60.34319,56.97677
"te_16",64.1604,58.37405,47.13015
"ee_01",16.1536,16.26859,16.40054
"ee_04",16.43298,17.37282,109.6485
"ee_08",10.52802,10.36307,58.4873
"ee_16",9.395938,10.09486,46.56117
