"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",1.192118,1.113145,7.698702
"Four",0.8649573,0.8448322,21.92113
"Eight",0.74687,0.7548745,13.08471
"Sixteen",0.9822133,0.9876096,10.67942
