"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",0.205162,0.1020379,7.310405
"Four",0.6425474,0.5854273,21.50787
"Eight",0.6630306,0.653872,13.05137
"Sixteen",0.9917564,0.9144499,10.43998
