"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",0.2237189,0.1310093,0.6684458
"Four",4.312857,4.003277,342.8945
"Eight",3.098867,2.751655,228.901
"Sixteen",3.856526,3.447195,224.1133
