"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",16.1536,16.26859,16.40054
"Four",16.43298,17.37282,109.6485
"Eight",10.52802,10.36307,58.4873
"Sixteen",9.395938,10.09486,46.56117
