"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"One",10.50661,9.965895,28.63708
"Four",642.4224,606.5927,000
"Eight",474.0643,470.3089,000
"Sixteen",309.1314,350.3411,000
