"Cores","terra_zonal","terra_extract","exact_extract"
1,706.107938766479,578.140698432922,594.961943387985
2,363.981326818466,299.48223567009,308.000509500504
3,244.649456977844,205.522617816925,216.346103191376
4,187.227755308151,158.366128206253,160.72008728981
5,152.927149772644,129.857558727264,132.744225502014
6,127.449408769608,109.579101085663,117.066021203995
7,113.154808998108,95.8888297080994,100.364690303802
8,99.3503746986389,92.5431661605835,92.5961439609528
9,108.53931927681,92.1012945175171,97.0816435813904
10,100.6815366745,82.7911670207977,90.9525787830353
11,93.2197713851929,77.2075347900391,85.3152058124542
12,87.911299943924,72.3222687244415,77.3771722316742
13,82.3493738174438,70.3162271976471,74.8526124954224
14,78.8514864444733,66.4946463108063,72.1773815155029
15,75.6311309337616,62.3070888519287,68.0831530094147
16,72.8101894855499,60.122899055481,71.4706077575684
