"Cores","terra_zonal","terra_extract","exact_extract"
1,855.188819885254,677.878505706787,698.408862113953
2,439.488261222839,320.60456776619,322.68362402916
3,292.080677986145,213.025944709778,219.793020009995
4,213.59356379509,182.596337795258,180.590241909027
5,186.184335947037,131.876736164093,135.381226539612
6,153.480063199997,113.050230741501,114.678928375244
7,132.047024250031,99.4275863170624,100.577747106552
8,116.397163391113,99.5031735897064,96.4750671386719
9,130.579283237457,96.478611946106,99.0372712612152
10,122.458940029144,88.1528294086456,89.2033143043518
11,111.86364030838,80.3311822414398,80.7136597633362
12,103.371017217636,76.5492672920227,74.5049805641174
13,97.6015396118164,72.6732683181763,73.0082929134369
14,96.5509881973267,69.4319450855255,68.1771569252014
15,90.2763812541962,65.3891444206238,64.6992056369781
16,88.9903295040131,73.128308057785,70.8585066795349
