"Cores","hexa_5","hexa_10","hexa_25","hexa_50","hexa_100","hexa_200","hexa_500","hexa_1000","hexa_5000","hexa_10000"
"tz_01",178.8815,89.67825,36.21301,18.8413,9.334414,4.882078,2.166131,1.11964,0.3502138,0.3257258
"tz_08",3998.318,1941.045,821.8638,409.3681,218.4172,104.4333,46.00843,22.92786,5.558032,3.478525
"tz_16",4349.119,1818.172,743.6943,449.7844,188.3637,114.4126,42.38246,25.6659,5.499962,3.576357
"te_01",137.1656,73.23463,33.78237,19.32766,11.59568,7.725522,5.201638,3.796206,3.021801,3.572793
"te_08",159.2277,81.5041,33.06615,17.46612,10.3346,6.185275,3.378116,2.260072,1.629579,1.512595
"te_16",125.095,62.52749,24.61467,14.45737,8.712133,5.154872,3.263368,2.492489,2.004068,1.960723
"ee_01",199.9419,99.48385,36.80686,21.4348,11.50748,5.592935,2.250958,1.347836,0.3079231,0.3029113
"ee_08",325.3857,168.6226,63.6757,31.27099,15.56651,8.33793,3.716887,2.036136,0.6812923,0.4657869
"ee_16",236.256,112.3159,44.43275,23.32852,12.22643,6.966163,2.788915,1.764128,0.7461352,0.4931669
