"Cores","hexa_5","hexa_10","hexa_25","hexa_50","hexa_100","hexa_200","hexa_500","hexa_1000","hexa_5000","hexa_10000"
"One",132.9559,68.90622,28.19179,14.24352,6.81429,3.450988,1.658365,0.708586,0.2455978,0.1682453
"Eight",163.259,78.67173,33.00525,15.88571,8.528702,4.850717,2.692572,1.848167,0.9837112,0.8101277
"Sixteen",143.6871,67.81107,26.22061,13.55788,6.941434,3.69172,1.722866,1.00631,0.4147627,0.3593936
