"Cores","hexa_5","hexa_10","hexa_25","hexa_50","hexa_100","hexa_200","hexa_500","hexa_1000","hexa_5000","hexa_10000"
"One",249.6339,131.2308,77.47518,59.1771,46.64463,43.59408,38.56391,36.54002,37.93693,37.45819
"Eight",902.2261,578.9651,318.2863,214.9602,146.6246,104.2256,66.04298,48.00426,25.47092,27.96348
"Sixteen",735.0749,481.1137,285.8743,194.1172,134.2793,100.2912,61.83375,44.06097,23.7386,19.29808
