"Cores","hexa_5","hexa_10","hexa_25","hexa_50","hexa_100","hexa_200","hexa_500","hexa_1000","hexa_5000","hexa_10000"
"One",208.8389,108.7707,47.602,28.57046,20.34375,14.56051,11.23704,9.270575,7.618734,7.669195
"Eight",500.1722,255.7288,130.6243,84.52802,59.1422,31.86205,19.70048,14.2493,7.501918,5.844316
"Sixteen",387.9218,211.2882,103.8695,63.10333,43.40048,27.06651,16.88509,11.81458,6.052785,5.109006
