"Cores","hexa_5","hexa_10","hexa_25","hexa_50","hexa_100","hexa_200","hexa_500","hexa_1000","hexa_5000","hexa_10000"
"tz_01",6.955655,3.447286,1.610337,0.787322,0.4279578,0.2173488,0.09714317,0.05287719,0.01956558,0.01614785
"tz_08",527.5048,257.8223,101.843,49.22742,22.68895,10.3881,4.237234,1.998408,0.5225244,0.3227046
"tz_16",322.257,163.729,59.13238,28.07708,13.70378,8.730076,3.777974,1.96402,0.6497412,0.5299165
"te_01",132.9559,68.90622,28.19179,14.24352,6.81429,3.450988,1.658365,0.708586,0.2455978,0.1682453
"te_08",163.259,78.67173,33.00525,15.88571,8.528702,4.850717,2.692572,1.848167,0.9837112,0.8101277
"te_16",143.6871,67.81107,26.22061,13.55788,6.941434,3.69172,1.722866,1.00631,0.4147627,0.3593936
"ee_01",194.42,91.18927,39.34903,16.12656,8.210271,4.3183,1.961512,0.9011652,0.3130894,0.1199386
"ee_08",336.9513,148.4956,57.99293,31.39336,15.09471,7.9823,3.436744,1.917747,0.6237986,0.4595077
"ee_16",230.454,112.7421,43.84075,22.3089,11.33857,6.30515,2.792781,1.569426,0.5585999,0.4295208
