"Cores","hexa_5","hexa_10","hexa_25","hexa_50","hexa_100","hexa_200","hexa_500","hexa_1000","hexa_5000","hexa_10000"
"One",137.1656,73.23463,33.78237,19.32766,11.59568,7.725522,5.201638,3.796206,3.021801,3.572793
"Eight",159.2277,81.5041,33.06615,17.46612,10.3346,6.185275,3.378116,2.260072,1.629579,1.512595
"Sixteen",125.095,62.52749,24.61467,14.45737,8.712133,5.154872,3.263368,2.492489,2.004068,1.960723
