"Cores","grids_255020","grids_127600","grids_51336","grids_25839","grids_12950","grids_6600","grids_2688","grids_1350","grids_294","grids_157"
"te_01",1495.459,1076.175,746.4294,580.1276,494.5155,400.2321,327.0743,293.5454,265.1793,275.8765
"te_08",362.5109,246.0389,173.8255,126.5682,87.93432,75.81088,66.22606,53.83156,46.18903,49.32586
"te_16",270.934,172.6951,106.8219,79.71826,65.07477,57.29972,46.30836,41.66517,35.34747,36.22458
"ee_01",208.8389,108.7707,47.602,28.57046,20.34375,14.56051,11.23704,9.270575,7.618734,7.669195
"ee_08",500.1722,255.7288,130.6243,84.52802,59.1422,31.86205,19.70048,14.2493,7.501918,5.844316
"ee_16",387.9218,211.2882,103.8695,63.10333,43.40048,27.06651,16.88509,11.81458,6.052785,5.109006
