"Cores","grids_255020","grids_127600","grids_51336","grids_25839","grids_12950","grids_6600","grids_2688","grids_1350","grids_294","grids_157"
"ee_00",194.42,91.18927,39.34903,16.12656,8.210271,4.3183,1.961512,0.9011652,0.3130894,0.1199386
"ee_08",336.9513,148.4956,57.99293,31.39336,15.09471,7.9823,3.436744,1.917747,0.6237986,0.4595077
"ee_16",230.454,112.7421,43.84075,22.3089,11.33857,6.30515,2.792781,1.569426,0.5585999,0.4295208
