"Cores","grids_255020","grids_127600","grids_51336","grids_25839","grids_12950","grids_6600","grids_2688","grids_1350","grids_294","grids_157"
"te_01",5675.173,4245.685,2966.975,2414.924,1835.78,1563.145,1306.331,1181.783,1043.299,1083.083
"te_08",890.8601,682.2778,468.2567,309.522,249.1201,210.5241,176.4316,150.2783,136.4808,136.5697
"te_16",734.4703,498.2783,351.7158,282.4697,214.6687,181.052,149.6536,141.0156,121.7639,119.3854
"ee_01",249.6339,131.2308,77.47518,59.1771,46.64463,43.59408,38.56391,36.54002,37.93693,37.45819
"ee_08",902.2261,578.9651,318.2863,214.9602,146.6246,104.2256,66.04298,48.00426,25.47092,27.96348
"ee_16",735.0749,481.1137,285.8743,194.1172,134.2793,100.2912,61.83375,44.06097,23.7386,19.29808
