"Cores","grids_255020","grids_127600","grids_51336","grids_25839","grids_12950","grids_6600","grids_2688","grids_1350","grids_294","grids_157"
"te_01",1495.459,1076.175,746.4294,580.1276,494.5155,400.2321,327.0743,293.5454,265.1793,275.8765
"te_08",362.5109,246.0389,173.8255,126.5682,87.93432,75.81088,66.22606,53.83156,46.18903,49.32586
"te_16",270.934,172.6951,106.8219,79.71826,65.07477,57.29972,46.30836,41.66517,35.34747,36.22458
